Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,34158,0,280,1356.6736892730285,0.5963749999864376,17235.57670900027,92.94847473505475,114.20218018761557,0.0,280,1800,2100,2400,3400,4800,7400,9600,15000,17000,17000
,Aggregated,34158,0,280,1356.6736892730285,0.5963749999864376,17235.57670900027,92.94847473505475,114.20218018761557,0.0,280,1800,2100,2400,3400,4800,7400,9600,15000,17000,17000
