Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4715,0,2300,2427.265611290353,306.7936670004201,5262.640457999623,93.39597030752917,26.18231042725408,0.0,2300,2400,2600,2700,3100,3400,4000,4700,5100,5300,5300
,Aggregated,4715,0,2300,2427.265611290353,306.7936670004201,5262.640457999623,93.39597030752917,26.18231042725408,0.0,2300,2400,2600,2700,3100,3400,4000,4700,5100,5300,5300
